vdc,ward,parcel_id,landuse
औरैया,1,0,कृषि क्षेत्र
औरैया,1,0,कृषि क्षेत्र
औरैया,1,0,कृषि क्षेत्र
औरैया,1,1,कृषि क्षेत्र
औरैया,1,2,कृषि क्षेत्र
औरैया,1,3,कृषि क्षेत्र
औरैया,1,4,सार्वजनिक उपयोगको क्षेत्र
औरैया,1,5,कृषि क्षेत्र
औरैया,1,6,कृषि क्षेत्र
औरैया,1,7,कृषि क्षेत्र
औरैया,1,8,कृषि क्षेत्र
औरैया,1,9,कृषि क्षेत्र
औरैया,1,10,कृषि क्षेत्र
औरैया,1,11,कृषि क्षेत्र
औरैया,1,12,कृषि क्षेत्र
औरैया,1,13,कृषि क्षेत्र
औरैया,1,14,कृषि क्षेत्र
औरैया,1,16,कृषि क्षेत्र
औरैया,1,17,कृषि क्षेत्र
औरैया,1,18,कृषि क्षेत्र
औरैया,1,19,कृषि क्षेत्र
औरैया,1,20,कृषि क्षेत्र
औरैया,1,22,कृषि क्षेत्र
औरैया,1,23,कृषि क्षेत्र
औरैया,1,24,कृषि क्षेत्र
औरैया,1,25,कृषि क्षेत्र
औरैया,1,26,कृषि क्षेत्र
औरैया,1,27,कृषि क्षेत्र
औरैया,1,28,आवासीय क्षेत्र
औरैया,1,30,कृषि क्षेत्र
औरैया,1,31,आवासीय क्षेत्र
औरैया,1,32,आवासीय क्षेत्र
औरैया,1,33,कृषि क्षेत्र
औरैया,1,34,कृषि क्षेत्र
औरैया,1,35,कृषि क्षेत्र
औरैया,1,36,कृषि क्षेत्र
औरैया,1,37,कृषि क्षेत्र
औरैया,1,38,कृषि क्षेत्र
औरैया,1,41,कृषि क्षेत्र
औरैया,1,42,कृषि क्षेत्र
औरैया,1,43,कृषि क्षेत्र
औरैया,1,44,आवासीय क्षेत्र
औरैया,1,45,आवासीय क्षेत्र
औरैया,1,46,आवासीय क्षेत्र
औरैया,1,47,आवासीय क्षेत्र
औरैया,1,48,कृषि क्षेत्र
औरैया,1,49,कृषि क्षेत्र
औरैया,1,50,आवासीय क्षेत्र
औरैया,1,54,कृषि क्षेत्र
औरैया,1,57,कृषि क्षेत्र
औरैया,1,58,कृषि क्षेत्र
औरैया,1,61,कृषि क्षेत्र
औरैया,1,62,कृषि क्षेत्र
औरैया,1,63,कृषि क्षेत्र
औरैया,1,64,कृषि क्षेत्र
औरैया,1,65,कृषि क्षेत्र
औरैया,1,66,कृषि क्षेत्र
औरैया,1,67,कृषि क्षेत्र
औरैया,1,69,कृषि क्षेत्र
औरैया,1,70,कृषि क्षेत्र
औरैया,1,71,कृषि क्षेत्र
औरैया,1,73,कृषि क्षेत्र
औरैया,1,74,कृषि क्षेत्र
औरैया,1,75,कृषि क्षेत्र
औरैया,1,76,कृषि क्षेत्र
औरैया,1,78,कृषि क्षेत्र
औरैया,1,79,कृषि क्षेत्र
औरैया,1,80,कृषि क्षेत्र
औरैया,1,81,आवासीय क्षेत्र
औरैया,1,82,कृषि क्षेत्र
औरैया,1,83,कृषि क्षेत्र
औरैया,1,84,आवासीय क्षेत्र
औरैया,1,87,कृषि क्षेत्र
औरैया,1,89,आवासीय क्षेत्र
औरैया,1,90,आवासीय क्षेत्र
औरैया,1,91,कृषि क्षेत्र
औरैया,1,92,कृषि क्षेत्र
औरैया,1,93,कृषि क्षेत्र
औरैया,1,94,कृषि क्षेत्र
औरैया,1,95,कृषि क्षेत्र
औरैया,1,96,कृषि क्षेत्र
औरैया,1,97,कृषि क्षेत्र
औरैया,1,98,कृषि क्षेत्र
औरैया,1,99,आवासीय क्षेत्र
औरैया,1,101,आवासीय क्षेत्र
औरैया,1,102,आवासीय क्षेत्र
औरैया,1,103,कृषि क्षेत्र
औरैया,1,104,कृषि क्षेत्र
औरैया,1,105,कृषि क्षेत्र
औरैया,1,106,कृषि क्षेत्र
औरैया,1,107,कृषि क्षेत्र
औरैया,1,108,कृषि क्षेत्र
औरैया,1,110,आवासीय क्षेत्र
औरैया,1,111,आवासीय क्षेत्र
औरैया,1,113,आवासीय क्षेत्र
औरैया,1,114,आवासीय क्षेत्र
औरैया,1,115,कृषि क्षेत्र
औरैया,1,116,कृषि क्षेत्र
औरैया,1,117,कृषि क्षेत्र
औरैया,1,118,आवासीय क्षेत्र
औरैया,1,119,कृषि क्षेत्र
औरैया,1,120,सार्वजनिक उपयोगको क्षेत्र
औरैया,1,122,सार्वजनिक उपयोगको क्षेत्र
औरैया,1,126,कृषि क्षेत्र
औरैया,1,137,आवासीय क्षेत्र
औरैया,1,388,आवासीय क्षेत्र
औरैया,1,389,कृषि क्षेत्र
औरैया,1,404,आवासीय क्षेत्र
औरैया,1,406,कृषि क्षेत्र
औरैया,1,407,कृषि क्षेत्र
औरैया,1,409,कृषि क्षेत्र
औरैया,1,419,कृषि क्षेत्र
औरैया,1,420,कृषि क्षेत्र
औरैया,1,430,कृषि क्षेत्र
औरैया,1,431,कृषि क्षेत्र
औरैया,1,432,आवासीय क्षेत्र
औरैया,1,433,आवासीय क्षेत्र
औरैया,1,436,कृषि क्षेत्र
औरैया,1,437,कृषि क्षेत्र
औरैया,1,459,कृषि क्षेत्र
औरैया,1,607,कृषि क्षेत्र
औरैया,1,608,कृषि क्षेत्र
औरैया,1,625,कृषि क्षेत्र
औरैया,1,626,कृषि क्षेत्र
औरैया,1,741,आवासीय क्षेत्र
औरैया,1,742,आवासीय क्षेत्र
औरैया,1,818,कृषि क्षेत्र
औरैया,1,819,कृषि क्षेत्र
औरैया,1,839,आवासीय क्षेत्र
औरैया,1,855,कृषि क्षेत्र
औरैया,1,856,कृषि क्षेत्र
औरैया,1,865,कृषि क्षेत्र
औरैया,1,866,कृषि क्षेत्र
औरैया,1,869,कृषि क्षेत्र
औरैया,1,879,कृषि क्षेत्र
औरैया,1,972,आवासीय क्षेत्र
औरैया,1,973,आवासीय क्षेत्र
औरैया,1,997,आवासीय क्षेत्र
औरैया,1,998,आवासीय क्षेत्र
औरैया,1,1048,कृषि क्षेत्र
औरैया,1,1049,कृषि क्षेत्र
औरैया,1,1056,कृषि क्षेत्र
औरैया,1,1080,कृषि क्षेत्र
औरैया,1,1081,कृषि क्षेत्र
औरैया,1,1090,आवासीय क्षेत्र
औरैया,1,1091,आवासीय क्षेत्र
औरैया,1,1108,कृषि क्षेत्र
औरैया,1,1109,कृषि क्षेत्र
औरैया,1,1120,कृषि क्षेत्र
औरैया,1,1121,आवासीय क्षेत्र
औरैया,1,1140,आवासीय क्षेत्र
औरैया,1,1141,आवासीय क्षेत्र
औरैया,1,1333,आवासीय क्षेत्र
औरैया,1,1334,आवासीय क्षेत्र
औरैया,1,1335,आवासीय क्षेत्र
औरैया,1,1338,कृषि क्षेत्र
औरैया,1,1339,कृषि क्षेत्र
औरैया,1,1460,कृषि क्षेत्र
औरैया,1,1461,कृषि क्षेत्र
औरैया,1,1462,कृषि क्षेत्र
औरैया,1,1463,कृषि क्षेत्र
औरैया,1,1464,कृषि क्षेत्र
औरैया,3,2,कृषि क्षेत्र
औरैया,3,4,कृषि क्षेत्र
औरैया,3,6,कृषि क्षेत्र
औरैया,3,7,कृषि क्षेत्र
औरैया,3,8,कृषि क्षेत्र
औरैया,3,9,कृषि क्षेत्र
औरैया,3,10,कृषि क्षेत्र
औरैया,3,11,कृषि क्षेत्र
औरैया,3,12,कृषि क्षेत्र
औरैया,3,14,कृषि क्षेत्र
औरैया,3,16,कृषि क्षेत्र
औरैया,3,17,कृषि क्षेत्र
औरैया,3,18,कृषि क्षेत्र
औरैया,3,19,कृषि क्षेत्र
औरैया,3,20,कृषि क्षेत्र
औरैया,3,21,कृषि क्षेत्र
औरैया,3,23,कृषि क्षेत्र
औरैया,3,24,कृषि क्षेत्र
औरैया,3,25,कृषि क्षेत्र
औरैया,3,26,कृषि क्षेत्र
औरैया,3,27,कृषि क्षेत्र
औरैया,3,28,आवासीय क्षेत्र
औरैया,3,29,कृषि क्षेत्र
औरैया,3,30,कृषि क्षेत्र
औरैया,3,31,आवासीय क्षेत्र
औरैया,3,32,कृषि क्षेत्र
औरैया,3,33,कृषि क्षेत्र
औरैया,3,34,आवासीय क्षेत्र
औरैया,3,35,आवासीय क्षेत्र
औरैया,3,36,आवासीय क्षेत्र
औरैया,3,37,आवासीय क्षेत्र
औरैया,3,38,कृषि क्षेत्र
औरैया,3,40,कृषि क्षेत्र
औरैया,3,41,कृषि क्षेत्र
औरैया,3,42,कृषि क्षेत्र
औरैया,3,43,कृषि क्षेत्र
औरैया,3,44,कृषि क्षेत्र
औरैया,3,45,कृषि क्षेत्र
औरैया,3,47,कृषि क्षेत्र
औरैया,3,48,कृषि क्षेत्र
औरैया,3,49,कृषि क्षेत्र
औरैया,3,50,कृषि क्षेत्र
औरैया,3,51,कृषि क्षेत्र
औरैया,3,52,कृषि क्षेत्र
औरैया,3,53,कृषि क्षेत्र
औरैया,3,54,कृषि क्षेत्र
औरैया,3,55,कृषि क्षेत्र
औरैया,3,56,कृषि क्षेत्र
औरैया,3,57,कृषि क्षेत्र
औरैया,3,58,कृषि क्षेत्र
औरैया,3,59,कृषि क्षेत्र
औरैया,3,60,कृषि क्षेत्र
औरैया,3,61,कृषि क्षेत्र
औरैया,3,62,कृषि क्षेत्र
औरैया,3,63,कृषि क्षेत्र
औरैया,3,64,कृषि क्षेत्र
औरैया,3,65,कृषि क्षेत्र
औरैया,3,66,कृषि क्षेत्र
औरैया,3,68,कृषि क्षेत्र
औरैया,3,69,कृषि क्षेत्र
औरैया,3,70,कृषि क्षेत्र
औरैया,3,71,आवासीय क्षेत्र
औरैया,3,72,आवासीय क्षेत्र
औरैया,3,73,कृषि क्षेत्र
औरैया,3,74,कृषि क्षेत्र
औरैया,3,75,कृषि क्षेत्र
औरैया,3,76,कृषि क्षेत्र
औरैया,3,77,कृषि क्षेत्र
औरैया,3,80,कृषि क्षेत्र
औरैया,3,81,कृषि क्षेत्र
औरैया,3,83,आवासीय क्षेत्र
औरैया,3,84,आवासीय क्षेत्र
औरैया,3,85,आवासीय क्षेत्र
औरैया,3,86,आवासीय क्षेत्र
औरैया,3,88,आवासीय क्षेत्र
औरैया,3,89,आवासीय क्षेत्र
औरैया,3,90,आवासीय क्षेत्र
औरैया,3,91,आवासीय क्षेत्र
औरैया,3,97,आवासीय क्षेत्र
औरैया,3,98,आवासीय क्षेत्र
औरैया,3,99,आवासीय क्षेत्र
औरैया,3,100,आवासीय क्षेत्र
औरैया,3,101,आवासीय क्षेत्र
औरैया,3,105,आवासीय क्षेत्र
औरैया,3,114,आवासीय क्षेत्र
औरैया,3,115,आवासीय क्षेत्र
औरैया,3,116,आवासीय क्षेत्र
औरैया,3,117,कृषि क्षेत्र
औरैया,3,118,कृषि क्षेत्र
औरैया,3,119,कृषि क्षेत्र
औरैया,3,124,कृषि क्षेत्र
औरैया,3,125,कृषि क्षेत्र
औरैया,3,126,कृषि क्षेत्र
औरैया,3,127,कृषि क्षेत्र
औरैया,3,128,कृषि क्षेत्र
औरैया,3,129,कृषि क्षेत्र
औरैया,3,130,कृषि क्षेत्र
औरैया,3,133,कृषि क्षेत्र
औरैया,3,135,कृषि क्षेत्र
औरैया,3,136,कृषि क्षेत्र
औरैया,3,137,कृषि क्षेत्र
औरैया,3,138,कृषि क्षेत्र
औरैया,3,139,कृषि क्षेत्र
औरैया,3,140,कृषि क्षेत्र
औरैया,3,141,कृषि क्षेत्र
औरैया,3,143,कृषि क्षेत्र
औरैया,3,146,कृषि क्षेत्र
औरैया,3,147,कृषि क्षेत्र
औरैया,3,148,कृषि क्षेत्र
औरैया,3,149,कृषि क्षेत्र
औरैया,3,150,कृषि क्षेत्र
औरैया,3,151,कृषि क्षेत्र
औरैया,3,152,कृषि क्षेत्र
औरैया,3,153,कृषि क्षेत्र
औरैया,3,156,कृषि क्षेत्र
औरैया,3,159,कृषि क्षेत्र
औरैया,3,160,कृषि क्षेत्र
औरैया,3,162,कृषि क्षेत्र
